City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
274,Joensuu,FI,62.6012,29.7632,73.89,68,0,2.3,clear sky
275,Praia Da Vitoria,PT,38.7333,-27.0667,76.75,89,100,2.59,overcast clouds
276,Setermoen,NO,68.861,18.3486,53.56,72,97,4.0,overcast clouds
277,Evensk,RU,61.95,159.2333,57.58,50,4,4.72,clear sky
278,Djambala,CG,-2.5447,14.7533,78.37,51,100,0.63,overcast clouds
279,San,ML,13.3034,-4.8956,89.49,46,100,6.26,overcast clouds
280,Kandrian,PG,-6.2167,149.55,76.17,87,100,2.91,overcast clouds
281,San Pedro,PH,14.35,121.0167,81.63,85,20,2.3,few clouds
282,Roswell,US,34.0232,-84.3616,93.56,68,75,6.91,broken clouds
283,Saint George,US,37.1041,-113.5841,108.79,14,0,8.05,clear sky
284,Sterlitamak,RU,53.6246,55.9502,61.5,73,3,3.94,clear sky
285,Terrace,CA,54.5163,-128.6035,69.71,56,40,6.91,scattered clouds
286,Waddan,LY,29.1614,16.139,85.53,25,0,8.1,clear sky
287,Lagoa,PT,39.05,-27.9833,72.81,88,100,9.46,overcast clouds
288,Aranos,NA,-24.1333,19.1167,61.81,34,5,9.95,clear sky
289,Zeerust,ZA,-25.5369,26.0751,60.85,49,100,2.24,overcast clouds
290,San Patricio,US,28.017,-97.5169,97.52,42,4,17.31,clear sky
291,Chokwe,MZ,-24.5333,32.9833,65.21,85,2,4.9,clear sky
292,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,88,75,0.0,broken clouds
293,Sibolga,ID,1.7427,98.7792,75.56,90,100,4.29,overcast clouds
294,Bangassou,CF,4.7413,22.8184,67.62,98,100,2.84,overcast clouds
295,Slidell,US,30.2752,-89.7812,93.13,64,40,5.75,scattered clouds
296,Clyde River,CA,70.4692,-68.5914,55.63,62,75,16.11,broken clouds
297,Lavrentiya,RU,65.5833,-171.0,41.41,90,100,12.77,light rain
298,Sitka,US,57.0531,-135.33,55.29,82,100,10.36,light rain
299,Port Hardy,CA,50.6996,-127.4199,60.98,77,75,4.61,broken clouds
300,Las Cruces,US,32.3123,-106.7783,100.38,26,0,9.22,clear sky
301,Gerash,IR,27.6652,54.1371,93.34,30,78,5.41,broken clouds
302,Talcahuano,CL,-36.7167,-73.1167,55.08,88,100,4.61,overcast clouds
303,Naron,ES,43.5167,-8.1528,70.65,70,0,13.44,clear sky
304,Tall Kayf,TR,37.0833,41.0667,87.53,18,0,3.83,clear sky
305,Boo,SE,59.3333,18.2833,67.03,85,75,9.22,broken clouds
306,Hrodna,BY,53.6884,23.8258,71.13,76,14,8.25,few clouds
307,Bonneville,FR,46.0802,6.4073,86.18,54,100,1.32,overcast clouds
308,Vallenar,CL,-28.5708,-70.7581,69.73,48,100,4.47,overcast clouds
309,Altay,CN,47.8667,88.1167,61.52,76,100,2.93,overcast clouds
310,Ushtobe,KZ,45.2514,77.9838,78.06,31,4,1.72,clear sky
311,Camiri,BO,-20.05,-63.5167,85.78,30,4,6.91,clear sky
312,Suntar,RU,62.1444,117.6319,58.32,97,100,4.59,overcast clouds
313,Fez,MA,34.0372,-4.9998,100.65,13,40,4.61,thunderstorm
314,Tumaco,CO,1.7986,-78.8156,78.22,78,83,13.42,broken clouds
315,Wattegama,LK,6.7989,81.4808,75.15,91,100,4.21,overcast clouds
316,Teknaf,BD,20.8624,92.3058,79.81,88,100,2.44,very heavy rain
317,Sakhon Nakhon,TH,17.1612,104.1472,75.61,92,100,2.91,overcast clouds
318,Namie,JP,37.4833,141.0,75.72,96,79,3.02,broken clouds
319,Zhigansk,RU,66.7697,123.3711,52.36,94,100,8.23,light rain
320,Coihaique,CL,-45.5752,-72.0662,26.55,86,75,6.91,broken clouds
321,Digapahandi,IN,19.3667,84.5833,80.4,88,100,1.07,overcast clouds
322,Belle Fourche,US,44.6714,-103.8522,100.51,13,5,11.07,clear sky
323,Vinh,VN,18.6667,105.6667,77.16,90,100,4.79,overcast clouds
324,Moree,AU,-29.4667,149.85,50.43,77,0,8.57,clear sky
325,Bam,IR,29.106,58.357,93.0,23,59,9.84,broken clouds
326,Tromso,NO,69.6496,18.957,53.62,71,75,19.57,broken clouds
327,Umm Bab,QA,25.2142,50.8072,95.74,53,30,7.43,scattered clouds
328,Sinnamary,GF,5.3833,-52.95,82.53,73,52,6.55,broken clouds
329,Sobolevo,RU,54.4299,31.8996,63.77,78,71,2.95,broken clouds
330,Port Hedland,AU,-20.3167,118.5667,66.25,100,0,5.75,mist
331,Sakakah,SA,29.9697,40.2064,98.17,13,3,12.95,clear sky
